City,Country,Hotel Name,Lat,Lng
Victor Harbor,AU,Hotel Victor,-35.5566454,138.622635
Erenhot,CN,Lianda Hotel,43.647594,111.97442
Don Benito,ES,Hotel Vegas Altas,38.9552985,-5.8783407
Castro,CL,Enjoy Chiloé. Hotel De La Isla,-42.4896239,-73.77076459999999
Bismil,TR,Hotel Dolay,37.84966,40.6627801
Ancud,CL,Panamericana Hotel Ancud,-41.862372,-73.830086
Palmer,AU,Palmer Hotel,-34.8521749,139.1597109
Tandil,AR,Mulen Hotel Tandil,-37.3269965,-59.12918510000001
Rio Gallegos,AR,Hotel Patagonia,-51.6215456,-69.21694839999999
Chifeng,CN,Movenpick Hotel & State Guest House Chifeng,42.262024,118.90137
Tucuman,PE,Hotel Colonial Moquegua,-17.1854091,-70.9298372
Karratha,AU,Karratha International Hotel,-20.7375,116.842
Coihaique,CL,El Reloj Hotel,-45.5711279,-72.0612974
