city,country,latitude,longitude,max_temp,humidity,windspeed,cloudiness
Camacha,PT,33.08,-16.33,71.6,68,5.82,20
Mataura,NZ,-46.19,168.86,50.0,92,10.0,94
Hobart,AU,-42.88,147.33,60.01,58,4.83,75
Manacor,ES,39.57,3.21,72.0,88,3.53,20
Sao Jose da Coroa Grande,BR,-8.9,-35.15,70.78,85,5.1,0
Barrow,AR,-38.31,-60.23,58.48,55,13.56,0
Levelland,US,33.59,-102.38,93.99,36,12.75,40
Ambon,FR,47.55,-2.56,62.6,93,9.17,90
Morondava,MG,-20.3,44.28,74.94,72,5.91,0
Rikitea,PF,-23.12,-134.97,71.46,68,7.99,100
Ogden,US,41.22,-111.97,80.6,23,9.17,1
Alta Floresta,BR,-9.87,-56.08,91.4,46,1.12,20
Port Alfred,ZA,-33.59,26.89,61.0,77,4.83,0
Ongandjera,NA,-17.88,15.07,72.16,31,11.72,0
Bastia,IT,44.6,8.98,69.8,77,4.7,75
New Norfolk,AU,-42.78,147.06,60.01,58,4.83,75
Mabay,CU,20.35,-76.78,77.0,94,12.75,75
Ugoofaaru,MV,5.67,73.0,83.02,70,7.58,100
Ponta do Sol,BR,-20.63,-46.0,62.82,97,3.47,100
Severo-Kurilsk,RU,50.68,156.12,45.88,82,29.1,100
Kapaa,US,22.08,-159.32,87.8,74,11.41,75
Horasan,TR,40.04,42.16,54.96,45,5.79,10
Esperance,AU,-33.86,121.89,51.8,100,4.7,75
Taltal,CL,-25.41,-70.49,57.21,71,5.88,0
Dunedin,NZ,-45.87,170.5,51.01,69,30.0,71
Victor Harbor,AU,-35.55,138.62,61.0,38,5.82,0
Eldorado,BR,-24.52,-48.11,65.76,86,3.0,20
Punta Arenas,CL,-53.16,-70.91,51.8,62,19.46,0
Daru,PG,-9.07,143.21,75.01,90,9.22,100
Atuona,PF,-9.8,-139.03,79.81,74,16.87,95
Lazaro Cardenas,MX,28.39,-105.62,82.4,42,8.05,40
Montepuez,MZ,-13.13,39.0,67.59,55,9.71,7
Kasempa,ZM,-13.46,25.83,65.2,49,10.58,17
Kjollefjord,NO,70.95,27.35,46.4,100,8.05,75
Vardo,US,39.62,-77.74,82.99,42,6.93,40
Puerto Ayora,EC,-0.74,-90.35,77.0,65,14.99,75
Jieshi,CN,22.82,115.83,77.0,77,2.75,0
Bluff,AU,-23.58,149.07,61.8,86,10.94,7
Talcahuano,CL,-36.72,-73.12,55.4,87,4.7,75
Katherine,AU,-14.47,132.26,69.8,77,2.71,0
Iqaluit,CA,63.75,-68.52,39.2,80,9.17,20
Mar del Plata,AR,-46.43,-67.52,63.42,29,19.6,80
Curup,ID,-3.47,102.53,65.0,91,4.03,67
Tuktoyaktuk,CA,69.44,-133.03,37.4,86,21.92,75
Hilo,US,19.71,-155.08,87.8,62,9.17,40
Homer,US,59.64,-151.54,53.6,70,6.93,1
Marawi,PH,8.0,124.29,75.0,90,7.0,2
San Patricio,PY,-26.98,-56.83,73.98,50,4.92,0
Vallenar,CL,-28.58,-70.76,62.75,45,9.89,0
Bambous Virieux,MU,-20.34,57.76,73.4,88,6.93,40
Tiarei,PF,-17.53,-149.33,84.2,66,9.17,20
Nikolskoye,RU,59.7,30.79,48.0,81,4.47,90
Clyde River,CA,70.47,-68.59,39.2,93,10.29,20
Ouesso,CG,1.61,16.05,72.25,88,2.53,87
Anju,KP,39.62,125.66,62.14,87,4.81,100
San Francisco del Mar,MX,16.34,-94.51,91.82,55,1.74,34
Codrington,AU,-28.95,153.24,66.99,93,4.74,90
Praxedis Guerrero,MX,31.37,-106.02,91.4,21,6.93,1
Nanortalik,GL,60.14,-45.24,42.55,77,0.81,0
Busselton,AU,-33.64,115.35,51.01,68,13.89,0
Balkhash,KZ,46.84,74.98,60.5,46,8.05,100
Cape Town,ZA,-33.93,18.42,71.01,72,3.36,0
Kavaratti,IN,10.57,72.64,80.1,82,16.33,100
Cabo San Lucas,MX,22.89,-109.91,90.0,58,12.75,5
Vrangel,RU,42.73,133.08,53.41,87,3.06,63
Ushuaia,AR,-54.81,-68.31,48.2,61,6.93,40
Sinnamary,GF,5.38,-52.96,82.93,75,11.68,20
Am Timan,TD,11.04,20.28,74.27,91,5.37,100
Mingaora,PK,34.78,72.36,63.63,79,4.41,9
Lebu,ET,8.96,38.73,54.06,80,4.61,26
Saint George,GR,39.45,22.34,68.0,88,6.06,20
Hithadhoo,MV,-0.6,73.08,81.83,80,21.16,100
Cherskiy,RU,68.75,161.3,30.73,54,4.34,99
Belyy Yar,RU,53.6,91.39,39.2,86,3.06,0
Arraial do Cabo,BR,-22.97,-42.02,68.0,94,8.05,90
Tautira,PF,-17.73,-149.15,84.2,66,9.17,20
Dikson,RU,73.51,80.55,34.96,92,8.28,100
Beloha,MG,-25.17,45.06,67.47,78,20.07,82
Lermontovka,RU,47.15,134.34,44.08,79,5.68,0
Charlestown,US,41.38,-71.64,75.2,83,20.8,90
Taybad,IR,34.74,60.78,69.45,18,3.89,0
Hermanus,ZA,-34.42,19.24,71.01,45,5.01,0
Harper,US,30.3,-99.24,96.8,30,9.17,1
Half Moon Bay,US,37.46,-122.43,84.0,68,18.34,1
Hasaki,JP,35.73,140.83,64.4,100,1.12,20
Tasiilaq,GL,65.61,-37.64,39.2,86,13.87,44
Kavieng,PG,-2.57,150.8,84.03,74,12.46,18
Almaznyy,RU,48.03,40.04,50.0,87,8.95,40
Caravelas,BR,-17.73,-39.27,75.26,79,10.56,28
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,82.68,31,6.33,0
Provideniya,RU,64.42,-173.23,48.2,93,17.9,90
Santa Cruz,BR,-6.22,-36.02,77.91,54,18.45,5
Razole,IN,16.48,81.84,77.62,94,4.88,93
Husavik,CA,50.56,-96.99,53.01,76,7.29,100
Lorengau,PG,-2.02,147.27,80.62,82,8.28,17
Ilulissat,GL,69.22,-51.1,42.8,26,18.34,20
Khatanga,RU,71.98,102.47,32.67,97,9.48,100
Bethel,US,60.79,-161.76,48.2,81,16.11,90
Quatre Cocos,MU,-20.21,57.76,73.4,88,6.93,40
Lingyuan,CN,41.24,119.4,55.48,52,3.4,0
Guerrero Negro,MX,27.97,-114.04,67.88,74,9.57,29
Kuusamo,FI,65.96,29.19,41.0,93,4.7,90
Qaanaaq,GL,77.48,-69.36,30.13,97,14.5,100
Chuy,UY,-33.69,-53.46,57.91,69,8.88,54
Georgetown,GY,6.8,-58.16,84.2,74,9.17,20
Oroquieta,PH,8.49,123.8,73.59,89,2.59,0
Saldanha,PT,41.42,-6.55,63.56,56,3.31,0
Saskylakh,RU,71.97,114.09,30.46,97,6.13,91
Dunda,IN,30.62,78.32,64.84,97,1.86,94
Hami,CN,42.84,93.51,71.32,24,12.33,19
Gornopravdinsk,RU,60.06,69.92,32.28,94,7.63,75
Pinczow,PL,50.52,20.53,57.99,91,1.01,66
Karanpura,IN,29.1,75.09,84.69,62,12.97,0
Albany,US,42.65,-73.75,63.0,93,2.77,90
Hibbing,US,47.43,-92.94,62.6,51,12.75,40
Airai,TL,-8.93,125.41,67.47,77,4.07,0
Butaritari,KI,3.07,172.79,83.7,74,11.74,43
Sitka,US,37.17,-99.65,71.01,74,5.01,100
Port Augusta,AU,-32.49,137.76,62.01,53,9.17,1
Izhma,RU,65.01,53.91,35.08,94,7.54,100
Turinsk,RU,58.04,63.7,31.12,95,7.72,58
Neiafu,TO,-18.65,-173.98,77.0,69,9.17,75
Trincomalee,LK,8.58,81.23,75.37,84,2.37,100
Geraldton,CA,49.72,-86.95,55.4,50,13.87,75
Mbanza-Ngungu,CD,-5.25,14.87,76.65,74,7.92,35
Balabac,PH,7.99,117.06,80.7,83,7.54,21
Lavrentiya,RU,65.58,-170.99,35.23,94,14.81,100
Avarua,CK,-21.21,-159.78,78.8,78,4.7,37
Hamilton,CA,43.26,-79.87,69.8,45,16.11,75
Port Elizabeth,US,39.31,-74.98,84.2,54,9.17,75
Erenhot,CN,43.65,111.97,62.21,38,9.19,0
Micheweni,TZ,-4.97,39.83,78.95,78,20.54,60
East London,ZA,-33.02,27.91,65.99,25,6.87,0
Zaplavnoye,RU,48.7,45.02,41.0,42,3.47,0
Rincon,PA,8.46,-82.28,84.2,74,8.05,40
Saint-Philippe,CA,45.36,-73.48,64.0,93,3.36,1
Kahului,US,20.89,-156.47,87.8,52,19.46,20
Sahuaripa,MX,29.05,-109.23,87.05,36,5.5,0
Vaini,IN,15.34,74.49,74.34,95,3.11,100
Tashtyp,RU,52.8,89.89,28.53,95,1.23,58
Kieta,PG,-6.22,155.63,80.82,79,4.14,0
Revelstoke,CA,50.99,-118.19,59.0,47,17.22,90
Santiago,PH,16.69,121.54,71.32,97,0.85,65
Victoria,BN,5.28,115.24,80.6,88,1.12,75
Gandajika,CD,-6.75,23.95,71.34,78,3.49,44
Bontang,ID,0.12,117.47,72.94,97,0.56,43
Tynda,RU,55.15,124.74,39.8,94,3.76,100
Bechem,GH,7.09,-2.02,74.07,88,1.86,44
Sur,OM,22.57,59.53,82.84,63,7.0,79
Sungaipenuh,ID,-2.08,101.38,70.13,94,1.45,58
Mount Isa,AU,-20.73,139.49,73.4,31,13.87,0
Kiunga,PG,-6.12,141.3,72.24,98,2.39,90
Tiksi,RU,71.64,128.87,34.83,93,2.59,100
Coquimbo,CL,-29.95,-71.34,55.4,76,11.41,75
Khislavichi,RU,54.19,32.16,39.78,75,4.85,2
Don Benito,ES,38.95,-5.86,71.01,42,4.0,0
Port Hedland,AU,-20.31,118.58,64.4,93,3.36,0
Pangnirtung,CA,66.15,-65.72,57.2,28,12.75,20
Yellowknife,CA,62.45,-114.38,37.4,64,14.99,75
Vila Velha,BR,-3.71,-38.6,80.6,69,11.41,0
Castro,CL,-42.48,-73.76,64.4,39,6.93,0
Gat,SN,14.69,-16.54,84.2,83,8.05,20
Necochea,AR,-38.55,-58.74,46.0,81,3.0,0
San Ramon de la Nueva Oran,AR,-23.13,-64.33,90.52,17,7.14,22
Lompoc,US,34.64,-120.46,81.0,82,4.7,40
Thompson,CA,55.74,-97.86,42.8,48,10.29,75
Lumby,CA,50.25,-118.97,59.0,51,16.11,40
Bismil,TR,37.85,40.66,70.0,40,2.24,0
Mahebourg,MU,-20.41,57.7,73.4,88,6.93,40
Wajima,JP,37.4,136.9,72.11,65,9.8,45
Christchurch,NZ,-43.53,172.64,55.0,76,2.24,65
Phuket,TH,7.89,98.4,77.0,88,1.12,20
Tubuala,PA,9.52,-79.03,82.4,78,10.29,40
Beeville,US,28.4,-97.75,91.0,59,11.01,30
Lugazi,UG,0.37,32.94,71.6,83,3.36,20
Souillac,FR,45.6,-0.6,64.0,88,9.17,90
